,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
6,0.05564680099487305,0.0023943964163512118,0.0016618728637695312,0.00042474208238071437,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-209.03074645996094,-214.40777587890625,-221.32704162597656,-224.56027221679688,-228.79055786132812,-219.62327880859374,7.0812277077869945,7,3
7,0.05914263725280762,0.0045876807434948085,0.001947927474975586,0.0007858245899317296,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-209.03079223632812,-214.4078369140625,-221.32711791992188,-224.56031799316406,-228.79058837890625,-219.62333068847656,7.081222977856564,8,3
8,0.05354609489440918,0.002253267245970966,0.0014294147491455077,0.00047015985658855545,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.3150634765625,-85.87499237060547,-87.32675170898438,-87.59003448486328,-88.68665313720703,-87.15869903564453,0.9908137529994665,1,3
9,0.05793476104736328,0.004641709366961602,0.001520538330078125,0.0005401077175063593,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.3150634765625,-85.87499237060547,-87.3267593383789,-87.59003448486328,-88.68665313720703,-87.15870056152343,0.9908140118096129,2,3
10,0.06423983573913575,0.007296537133875458,0.0019551753997802735,0.00033224816278870157,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.31507873535156,-85.87501525878906,-87.3267822265625,-87.59005737304688,-88.68667602539062,-87.15872192382812,0.9908153110361375,3,3
11,0.06257662773132325,0.004866356735662506,0.001718759536743164,0.0005831279215643448,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.31517028808594,-85.87510681152344,-87.32687377929688,-87.59014892578125,-88.686767578125,-87.1588134765625,0.9908153110361375,4,3
0,0.05350041389465332,0.005207871775364837,0.0015230655670166015,0.0005590420703084117,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-303.95782470703125,-312.18536376953125,-323.38043212890625,-330.25543212890625,-336.9095764160156,-321.3377258300781,11.93320878607608,9,4
1,0.05315999984741211,0.0015661156710120772,0.002066230773925781,0.0003621655470254529,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-303.95782470703125,-312.18536376953125,-323.38043212890625,-330.25543212890625,-336.9095764160156,-321.3377258300781,11.93320878607608,9,4
2,0.05395584106445313,0.002053183913175438,0.0014008045196533202,0.0004901959645055564,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-303.95782470703125,-312.1853942871094,-323.38043212890625,-330.25543212890625,-336.9095764160156,-321.3377319335938,11.933204104894154,11,4
3,0.05335283279418945,0.002185154192181168,0.00148773193359375,0.00042266642358270107,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-303.95782470703125,-312.1853942871094,-323.38043212890625,-330.25543212890625,-336.9095764160156,-321.3377319335938,11.933204104894154,11,4
4,0.05850186347961426,0.0062529348236928725,0.0020484447479248045,0.0006830336093769284,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-209.74774169921875,-214.53497314453125,-221.119384765625,-224.96685791015625,-228.77352905273438,-219.82849731445313,6.895299336991149,5,4
5,0.06282591819763184,0.007084766656877876,0.0016434192657470703,0.0004780810820336678,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-209.74774169921875,-214.53497314453125,-221.11941528320312,-224.9668731689453,-228.77352905273438,-219.82850646972656,6.895302753819243,6,4
6,0.05540575981140137,0.002789260559137003,0.0014279842376708984,0.0004886488583092957,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-209.74774169921875,-214.53497314453125,-221.11941528320312,-224.96685791015625,-228.77357482910156,-219.8285125732422,6.895312356478821,7,4
7,0.0565488338470459,0.003495295059884769,0.0015728473663330078,0.0004248806920378527,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-209.7477569580078,-214.53500366210938,-221.11941528320312,-224.96688842773438,-228.7736053466797,-219.8285339355469,6.895315675414095,8,4
8,0.0531733512878418,0.0011441417063628681,0.0015613079071044923,0.0005959202174990057,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.68502044677734,-85.87408447265625,-87.29900360107422,-87.65908813476562,-88.68667602539062,-87.24077453613282,0.9429435131421119,1,4
9,0.05340442657470703,0.0010990223943039535,0.0017206668853759766,0.00047188254256335765,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.68502807617188,-85.87408447265625,-87.29901123046875,-87.65908813476562,-88.68667602539062,-87.24077758789062,0.9429427080501115,2,4
10,0.05349454879760742,0.0012928834414227218,0.0016589164733886719,0.0004296326346126452,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.68504333496094,-85.87410736083984,-87.29902648925781,-87.65911102294922,-88.68669891357422,-87.24079742431641,0.9429435131421119,3,4
11,0.055360937118530275,0.0034366818263155668,0.0013840198516845703,0.00045853329076836924,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.68514251708984,-85.87420654296875,-87.29913330078125,-87.6592025756836,-88.6867904663086,-87.2408950805664,0.9429405906935122,4,4
0,0.06200709342956543,0.009351453166507191,0.0014161109924316407,0.00036165675205936646,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.9127197265625,-312.8681640625,-321.3853759765625,-327.8903503417969,-338.5480651855469,-320.72093505859374,12.234762861853119,10,5
1,0.05485601425170898,0.0029644236149911534,0.001794147491455078,0.0002802314574345138,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.9127197265625,-312.8681640625,-321.3853759765625,-327.8903503417969,-338.5480651855469,-320.72093505859374,12.234762861853119,10,5
2,0.05686221122741699,0.0014043506208874354,0.001249408721923828,0.00038079582532002653,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.9127197265625,-312.8681640625,-321.3853759765625,-327.8903503417969,-338.54803466796875,-320.72092895507814,12.234753968494616,9,5
3,0.056153297424316406,0.0022694231654826758,0.001544809341430664,0.0005234533326821794,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.9127197265625,-312.8681945800781,-321.3853759765625,-327.8903503417969,-338.5480651855469,-320.7209411621094,12.234758944372725,12,5
4,0.05402517318725586,0.0017830654191070658,0.0015114784240722657,0.0004728325916511642,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-209.07167053222656,-214.8014373779297,-220.1096649169922,-223.4839324951172,-229.634521484375,-219.4202453613281,7.067484380512204,6,5
5,0.058816719055175784,0.004307083123504014,0.0014715194702148438,0.00045189787293150495,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-209.07167053222656,-214.80142211914062,-220.1096649169922,-223.48390197753906,-229.634521484375,-219.42023620605468,7.067482865514698,5,5
6,0.055537843704223634,0.0021051505806961605,0.0014023780822753906,0.0004927112693024958,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-209.07168579101562,-214.8014373779297,-220.1096649169922,-223.4846954345703,-229.63453674316406,-219.42040405273437,7.067572063963056,7,5
7,0.06510372161865234,0.007347794359310967,0.001425933837890625,0.00038175585268141105,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-209.0717315673828,-214.80148315429688,-220.1096954345703,-223.48471069335938,-229.63455200195312,-219.4204345703125,7.067559435577036,8,5
8,0.05674481391906738,0.002090373938304311,0.001440286636352539,0.0005431128762090753,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.24881744384766,-85.814208984375,-87.26905059814453,-87.5550765991211,-88.77324676513672,-87.132080078125,1.0400050168666124,1,5
9,0.05630159378051758,0.0022205541221551103,0.0018267154693603516,0.00041670513610437025,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.24881744384766,-85.81422424316406,-87.26905822753906,-87.5550765991211,-88.77324676513672,-87.13208465576172,1.0400013507198045,2,5
10,0.053698062896728516,0.001562727005029084,0.0013109683990478516,0.00037725572596945616,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.24884033203125,-85.8142318725586,-87.26907348632812,-87.55509948730469,-88.77326965332031,-87.1321029663086,1.0400050168666124,3,5
11,0.05499343872070313,0.001671656625207986,0.0016536235809326172,0.0004562811238865307,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.2489242553711,-85.81433868408203,-87.26917266845703,-87.55519104003906,-88.77337646484375,-87.1322006225586,1.0400074624400968,4,5
0,0.0677518367767334,0.008141756081337452,0.0018720626831054688,0.00044684277541310295,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.222900390625,-311.58392333984375,-324.5833435058594,-330.1572570800781,-336.9063720703125,-321.09075927734375,12.57703592687127,9,6
1,0.06683831214904785,0.01103166320536178,0.0021835803985595704,0.0007466753549615609,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.222900390625,-311.58392333984375,-324.5833435058594,-330.1572570800781,-336.9063720703125,-321.09075927734375,12.57703592687127,9,6
2,0.06467342376708984,0.008790376151321817,0.0020072460174560547,0.0002338962816157929,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.222900390625,-311.5839538574219,-324.5833740234375,-330.1572570800781,-336.9063720703125,-321.090771484375,12.577033008220804,12,6
3,0.08336701393127441,0.03282257442896227,0.002017974853515625,0.0008709678246953122,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.222900390625,-311.5839538574219,-324.5833435058594,-330.1572265625,-336.9063720703125,-321.09075927734375,12.577026913421065,9,6
4,0.06353521347045898,0.013216492431858547,0.001531982421875,0.000499938749107053,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-208.65113830566406,-213.95587158203125,-221.90431213378906,-225.01336669921875,-228.7514190673828,-219.65522155761718,7.349576522155363,6,6
