,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_initializer,param_ms_lower,param_p_xo,param_tournament_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
2,1.5643229007720947,0.08288351649038987,0.08636603355407715,0.02686536646704715,grow,1,0.9,14,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 14}",-18.244876187277253,-15.015537207422055,-15.056650288877293,-17.92692763603188,-12.920169419673998,-15.832832147856497,1.9978601466425703,14,2
3,1.3643453598022461,0.10453184078804961,0.43608980178833007,0.18310494074350464,grow,1,0.9,6,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 6}",-19.255561906211593,-16.733350181240535,-16.585974611915464,-20.08914462863083,-15.229796736548042,-17.578765612909294,1.8072998986155675,16,2
4,95.06972260475159,184.179407196469,0.007214784622192383,0.0027402011109933224,grow,2,0.7,14,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 14}",-16.847869461970454,-9.487104430209468,-11.110669383386712,-12.671362031611174,-8.778379034054984,-11.779076868246559,2.8702935350103544,1,2
5,1.3908558368682862,0.04594218978748425,0.013724517822265626,0.006960632802933776,grow,2,0.7,6,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 6}",-16.19999781572596,-10.882073808680639,-12.071675071993868,-14.972041675476556,-9.829829744029647,-12.791123623181333,2.4210809842785554,5,2
6,1.585779333114624,0.056576831450532016,0.021082210540771484,0.0078087202929410255,grow,2,0.9,14,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.9, 'tournament_size': 14}",-17.01117650378992,-10.057790362457999,-13.220882697569964,-15.770584715253769,-11.254223763100844,-13.462931608434499,2.624776928623381,6,2
7,1.3464012622833252,0.060973630662045725,0.32709922790527346,0.10531179569781313,grow,2,0.9,6,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.9, 'tournament_size': 6}",-17.963172885035103,-13.731774953362029,-14.440749390948463,-17.712140798808335,-12.698999772222283,-15.309367560075241,2.138846319112756,12,2
8,1.6336142063140868,0.03203915899322966,0.010586309432983398,0.008710701400190143,rhh,1,0.7,14,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 14}",-17.197909607123325,-11.976007254365937,-12.883829193646656,-16.37633437561057,-11.287158491184234,-13.944247784386144,2.389976666312851,8,2
9,1.3847416877746581,0.06676956751566027,0.011882686614990234,0.002796330025531481,rhh,1,0.7,6,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 6}",-17.67983648942232,-13.16317666499344,-13.881248226416497,-17.092977860831752,-12.038018897766257,-14.771051627886056,2.2225593668297705,9,2
10,1.6003443241119384,0.04815077646083975,0.12066493034362794,0.08608023761129674,rhh,1,0.9,14,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 14}",-17.961695808518797,-13.764656018687809,-14.284403639260997,-17.580374755524222,-12.54888848654253,-15.228003741706868,2.1548154429117017,11,2
11,1.335578155517578,0.06436569901422774,0.20102410316467284,0.08334175646329675,rhh,1,0.9,6,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 6}",-18.99319692438788,-17.447086994579326,-16.34615027941875,-19.194132107458497,-14.269731084989907,-17.25005947816687,1.819679947538065,15,2
12,1.6152656078338623,0.05495492078862307,0.009109687805175782,0.0017292378304336704,rhh,2,0.7,14,"{'initializer': 'rhh', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 14}",-17.235596844589704,-9.23837417128965,-11.00663850177402,-13.179033908512904,-8.424751769460128,-11.816879039125283,3.163215864871661,2,2
13,1.3415596961975098,0.05213919259327532,0.026867437362670898,0.011003467653306504,rhh,2,0.7,6,"{'initializer': 'rhh', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 6}",-16.943651395147864,-10.210965208928016,-11.674506323418147,-14.437056095435931,-9.31831985209515,-12.516899775005022,2.8121523669557935,4,2
