,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_p_xo,param_pop_size,param_tournament_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0,0.02656383514404297,0.010173296565636538,0.0,0.0,4,0.7,20,3,"{'max_depth': 4, 'p_xo': 0.7, 'pop_size': 20, 'tournament_size': 3}",-16.687822341918945,-11.292440414428711,-8.982022285461426,-13.155707359313965,-11.655474662780762,-12.354693412780762,2.545970482350017,6,2
1,0.033104467391967776,0.010209255260937194,0.00020036697387695312,0.00040073394775390624,4,0.7,20,5,"{'max_depth': 4, 'p_xo': 0.7, 'pop_size': 20, 'tournament_size': 5}",-16.687822341918945,-12.668962478637695,-9.966352462768555,-14.299338340759277,-10.518927574157715,-12.828280639648437,2.474235221586698,10,2
2,0.050049209594726564,0.008934414780949375,0.0,0.0,4,0.7,50,3,"{'max_depth': 4, 'p_xo': 0.7, 'pop_size': 50, 'tournament_size': 3}",-16.687822341918945,-9.353392601013184,-10.219667434692383,-12.992024421691895,-9.608386039733887,-11.77225856781006,2.7782869565742936,4,2
3,0.05071663856506348,0.012595393280872974,0.0,0.0,4,0.7,50,5,"{'max_depth': 4, 'p_xo': 0.7, 'pop_size': 50, 'tournament_size': 5}",-15.244073867797852,-12.835280418395996,-9.139805793762207,-14.488548278808594,-10.3020601272583,-12.40195369720459,2.35246500541054,7,2
4,0.02600870132446289,0.0074286264613594,0.0,0.0,4,0.9,20,3,"{'max_depth': 4, 'p_xo': 0.9, 'pop_size': 20, 'tournament_size': 3}",-15.795180320739746,-12.992321014404297,-10.311087608337402,-14.66476058959961,-10.917362213134766,-12.936142349243164,2.1038897697583514,13,2
5,0.02306685447692871,0.006617736510618061,0.0,0.0,4,0.9,20,5,"{'max_depth': 4, 'p_xo': 0.9, 'pop_size': 20, 'tournament_size': 5}",-15.686422348022461,-12.287141799926758,-10.933748245239258,-14.141247749328613,-11.655474662780762,-12.94080696105957,1.737072473323732,15,2
6,0.03772172927856445,0.006371439663864926,0.0,0.0,4,0.9,50,3,"{'max_depth': 4, 'p_xo': 0.9, 'pop_size': 50, 'tournament_size': 3}",-15.795180320739746,-12.992321014404297,-10.311087608337402,-14.141247749328613,-10.917362213134766,-12.831439781188966,2.0268747214421334,11,2
7,0.043178367614746097,0.008109206054226941,0.0,0.0,4,0.9,50,5,"{'max_depth': 4, 'p_xo': 0.9, 'pop_size': 50, 'tournament_size': 5}",-15.244073867797852,-11.292439460754395,-9.139805793762207,-13.402804374694824,-9.601110458374023,-11.73604679107666,2.305625413544163,2,2
8,0.023207855224609376,0.007889892560539813,0.0,0.0,6,0.7,20,3,"{'max_depth': 6, 'p_xo': 0.7, 'pop_size': 20, 'tournament_size': 3}",-16.687822341918945,-12.100966453552246,-9.269709587097168,-13.27761459350586,-11.655474662780762,-12.598317527770996,2.4249303375669022,9,2
9,0.023784732818603514,0.0068993808529202874,0.0,0.0,6,0.7,20,5,"{'max_depth': 6, 'p_xo': 0.7, 'pop_size': 20, 'tournament_size': 5}",-16.687822341918945,-12.380043983459473,-9.664295196533203,-13.96236515045166,-10.157145500183105,-12.570334434509277,2.576672719728429,8,2
