,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_initializer,param_max_depth,param_p_xo,param_tournament_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
19,0.39536275863647463,0.14200612540433735,0.0012568950653076172,0.00048605839462809673,rhh,10,0.7,5,"{'initializer': 'rhh', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 5}",-9.078218185415242,-6.176713181223916,-6.3725465989097465,-12.880543586781005,-4.698853486914877,-7.841375007848957,2.8888405429947723,4,25
20,0.36691484451293943,0.0878014542488801,0.000975799560546875,0.0005053931198137526,rhh,10,0.7,7,"{'initializer': 'rhh', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 7}",-15.689978375409824,-7.8690613338119455,-5.49472514556303,-10.198165254353537,-25.847359660715245,-13.019857953970718,7.249753408206455,22,25
21,0.274766206741333,0.039484356587447304,0.0011537551879882812,0.00018687840160583802,rhh,10,0.9,3,"{'initializer': 'rhh', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 3}",-5.1333092550440815,-10.96191229256711,-5.058405083724085,-6.783194966538784,-3.7510968411519814,-6.337583687805209,2.5043751106815026,1,25
22,0.2320760726928711,0.017652962912772418,0.0008924484252929687,0.000469852102977768,rhh,10,0.9,5,"{'initializer': 'rhh', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 5}",-18.841514907720768,-10.96191229256711,-12.037781059909221,-14.653305189542067,-10.800925749797672,-13.459087839907369,3.0238551748685993,23,25
23,0.3004110336303711,0.038778375058659525,0.0006035804748535156,0.0008064120470823923,rhh,10,0.9,7,"{'initializer': 'rhh', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 7}",-16.73013475039236,-9.419164277380112,-10.421416944477624,-12.143558907247415,-10.448270714055498,-11.832509118710602,2.6005775976630683,16,25
0,0.35505356788635256,0.04432208327605509,0.000962209701538086,0.0005087433585930053,grow,6,0.7,3,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 3}",-3.017882480282983,-5.946352468389947,-7.882071158843655,-14.686350046009057,-11.349852624280519,-8.576501755561234,4.082153562698842,8,26
1,0.406451940536499,0.01924675776948371,0.000885915756225586,0.0004608492965126887,grow,6,0.7,5,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 5}",-3.408964811206231,-5.604533769394847,-2.930936205821703,-12.641297367411331,-26.61136959459908,-10.23942034968664,8.892254744919478,11,26
2,0.42369952201843264,0.07097042158657829,0.0015039920806884765,0.00044825324021888604,grow,6,0.7,7,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 7}",-14.314723629890782,-11.025715377135604,-9.02338926510801,-10.831430620028407,-26.647686016920712,-14.368588981816703,6.37238697347208,23,26
3,0.3593289852142334,0.07944152047641238,0.001275920867919922,0.0008084444415034342,grow,6,0.9,3,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 3}",-8.07206486972367,-5.195977747954346,-10.512081350632599,-4.184961277510728,-3.4027475491900963,-6.273566559002288,2.6444158246087475,2,26
4,0.2998493671417236,0.02915737339062843,0.000956583023071289,0.0005075766680339261,grow,6,0.9,5,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 5}",-18.497336783917167,-10.082247531779535,-10.374722778358834,-13.1182710087291,-9.34741889926255,-12.283999400409437,3.3591107188654346,17,26
5,0.39026694297790526,0.012474775625004726,0.001512765884399414,0.0006842801128027047,grow,6,0.9,7,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 7}",-16.60155226734685,-11.046322747626624,-11.009464807444935,-13.97241639693224,-9.961916038742833,-12.518334451618696,2.439909965382168,19,26
6,0.32559571266174314,0.03211829321441713,0.001271200180053711,0.0008127093733908877,grow,10,0.7,3,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 3}",-3.017882480282983,-5.946352468389947,-12.69285001074967,-4.110301676104301,-3.29974059312993,-5.813425445731365,3.588271297537707,1,26
7,0.5057112693786621,0.08814405673348606,0.0015895366668701172,0.0004935364560943704,grow,10,0.7,5,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 5}",-6.465035637462543,-5.526153299302511,-3.1687808384232157,-9.213185934952262,-26.61136959459908,-10.196905060947921,8.43255181715996,10,26
8,0.33996405601501467,0.08604942644716392,0.0010155200958251952,2.4324584696535007e-05,grow,10,0.7,7,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 7}",-16.724430412372662,-9.59824048130947,-9.02338926510801,-10.831430620028407,-26.801575249532657,-14.59581320567024,6.688943956167841,24,26
9,0.29694042205810545,0.05977026355075239,0.001006174087524414,3.4825438759823254e-06,grow,10,0.9,3,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 3}",-8.07206486972367,-5.195977747954346,-10.512081350632599,-4.184961277510728,-3.4027475491900963,-6.273566559002288,2.6444158246087475,2,26
10,0.2693035125732422,0.04317066430042716,0.0011464595794677735,0.0007261695078180343,grow,10,0.9,5,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 5}",-18.497336783917167,-10.082247531779535,-10.374722778358834,-13.137505927625032,-9.34741889926255,-12.287846384188622,3.3600748321165006,18,26
11,0.515996789932251,0.033738016693343094,0.0009243011474609375,0.0004942963165617468,grow,10,0.9,7,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 7}",-16.56051388408623,-10.332051097088417,-10.658690632307621,-13.344448971944118,-9.344067416241296,-12.047954400333536,2.616466092063973,16,26
12,0.3381368160247803,0.04883338743789072,0.001377105712890625,0.00034610025459720737,rhh,6,0.7,3,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 3}",-3.9748671378754934,-9.325420067071828,-4.726774804722959,-8.814142527732365,-25.081915202953216,-10.384623948071171,7.651077496388618,12,26
